;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
Borek;NIØNIOWSKI HENRYK  ;69;INØYNIER BUDOWNICTWA ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Borek;NOWAK MARIA EWA ;47;WYØSZE ; 
Borek;SIWEK SZYMON  ;40;WYØSZE EKONOMICZNE ; 
Borek;SUPERSON KRZYSZTOF RYSZARD ;42;PRZEDSI BIORCA ;BEZPARTYJNY WROC£AW 
Borek;åLEDZI—SKI KRZYSZTOF KAROL ;27;WYØSZE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Borek;WOLNY MARCIN ROBERT ;41;NAUCZYCIEL ; 
BrochÛw;ANUSIEWICZ ELØBIETA BOØENA ;67;NAUCZYCIEL AKADEMICKI ;NASZ BROCH”W 
BrochÛw;FOCZPANIAK ARTUR  ;42;INØYNIER ;NASZ BROCH”W 
BrochÛw;G”RECKI MAREK HENRYK ;66;LEKARZ ;NASZ BROCH”W 
BrochÛw;GRABOWSKI MARCIN PIOTR ;34;ARCHITEKT ;NASZ BROCH”W 
BrochÛw;HRUSZCZAK SEBASTIAN JERZY ;36;TECHNIK ELEKTRYK ;NASZ BROCH”W 
BrochÛw;KRAMARZ BOGUS£AWA  ;69;TECHNICZNE ; 
BrochÛw;KRAWCZYK WANDA JADWIGA ;66;TECHNIK BUDOWLANY ;NASZ BROCH”W 
BrochÛw;PALI—SKA ANNA MARIA ;37;WYØSZE-LICENCJAT ; 
BrochÛw;RUTA—SKI JANUSZ ANTONI ;71;INØYNIER ;NASZ BROCH”W 
BrochÛw;SADOWSKI MAREK DARIUSZ ;55;MENADØER, WYØSZE ;NASZ BROCH”W 
BrochÛw;SZYMCZAK JAKUB JAN ;41;MENADØER KOORDYNATOR PROJEKT”W, WYØSZE ;NASZ BROCH”W
BrochÛw;TERPI£OWSKA IRENA R”ØA ;56;WYØSZE ;ZIELONY WROC£AW 
BrochÛw;WOSIK BARBARA TERESA ;68;EKONOMISTA ;NASZ BROCH”W 
BrochÛw;GO£ BIEWSKI JANUSZ  ;35;TECHNIK ELEKTRONIK ;NASZ BROCH”W 
BrochÛw;HARDEJ RYSZARD  ;64;ZAWODOWE ;NASZ BROCH”W 
BrochÛw;KITA TOMASZ  ;36;WYØSZE ;NASZ BROCH”W 
BrochÛw;MICHO—SKI JAROS£AW EUGENIUSZ ;38;WYØSZE ;NASZ BROCH”W 
BrochÛw;NAROLSKI J”ZEF MARIAN ;64;TECHNIK MECHANIK ;NASZ BROCH”W 
BrochÛw;OZDOBA REMIGIUSZ  ;42;åREDNIE ;NASZ BROCH”W 
BrochÛw;PACHOLSKA AGATA JADWIGA ;44;PSYCHOLOG ; 
BrochÛw;RECZULSKA BEATA  ;51;WYØSZE PEDAGOGICZNE ;NASZ BROCH”W 
BrochÛw;SZYMA—SKI PIOTR  ;31;WYØSZE ;NASZ BROCH”W 
BrochÛw;åWIRSKI KAZIMIERZ BRONIS£AW ;49;åREDNIE ;NASZ BROCH”W 
BrochÛw;ZBOROWSKI ARTUR ROBERT ;43;FILOLOG ; 
GπdÛw - Popowice P≥d.;ANDRZEJCZAK MARIAN W£ADYS£AW ;64;TECHNIK GEODETA ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;BURSKA-URBANOWICZ ALICJA  ;76;LEKARZ ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;GAWLI—SKA DANUTA TERESA ;62;DOKTOR NAUK TEOLOGICZNYCH ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;MAZIJ WOJCIECH JERZY ;40;FILOLOG POLSKI ; 
GπdÛw - Popowice P≥d.;SKULSKI ZBIGNIEW  ;72;EMERYT ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;WALASZCZYK £UKASZ PATRYK ;34;INFORMATYK ; 
GπdÛw - Popowice P≥d.;BIERNAT KATARZYNA MARIA ;47;KARTOGRAF ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;DOMAGA£A GRZEGORZ ARTUR ;41;WYØSZE ; 
GπdÛw - Popowice P≥d.;GANCARZ ANNA IRENA ;70;LEKARZ WETERYNARII ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;IWAN ARTUR PAWE£ ;36;WYØSZE EKONOMICZNE ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;KLUSZYCKI S£AWOMIR ANDRZEJ ;62;DOKTOR EKONOMII ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;KRYCI—SKI JANUSZ FELIKS ;57;WYØSZE ADMINISTRACYJNE ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;KRZYåKO £UKASZ  ;33;WYØSZE PRAWNICZE ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;PIEGZIK MICHA£ ANDRZEJ ;26;WYØSZE PRAWNICZE ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;P£OCKI ANDRZEJ  ;66;KAMIENIARZ ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;D•BROWSKI W£ADYS£AW KAZIMIERZ ;63;INFORMATYK ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;DUSZE—KO TADEUSZ ANTONI ;62;INØYNIER MECHANIK ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;KEMPI—SKI RYSZARD JAN ;70;EMERYT ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;KO£CZYK KORNEL KAZIMIERZ ;25;STUDENT ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;KRZYSZTOFIK MARIAN  ;58;INØYNIER EKONOMISTA ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;MAKOWSKI ANDRZEJ MAREK ;33;INØYNIER BUDOWNICTWA ; 
GπdÛw - Popowice P≥d.;SZCZEPANOWSKI ALEKSANDER ALBERT ;27;INØYNIER TELEKOMUNIKACJI ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;SZUDY NOWICKA MARIA J”ZEFA ;71;EMERYTKA ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
GπdÛw - Popowice P≥d.;TADEUSZYK DARIUSZ WALERIAN ;59;NAUCZYCIEL ; 
GπdÛw - Popowice P≥d.;TADEUSZYK TERESA  ;61;REHABILITANT RUCHOWY, WYØSZE; 
GπdÛw - Popowice P≥d.;WODECKI BOGDAN  ;58;TECHNIK KOLEJNICTWA ;SPO£ECZNY KOMITET MIESZKA—C”W G•DOWA 
Gaj;BARTOSZKO MICHA£ ANDRZEJ ;35;ADWOKAT ;"STOWARZYSZENIE ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;BYSTRY TADEUSZ  ;67;RADCA PRAWNY ;NASZ GAJ 
Gaj;DUSZA MACIEJ JACEK ;72;DR NAUK CHEMICZNYCH ; 
Gaj;JANUSZKIEWICZ ROBERT ARTUR ;43;PRZEDSTAWICIEL, WYØSZE;NASZ GAJ 
Gaj;JANUSZKIEWICZ WOJCIECH KRZYSZTOF ;54;INØYNIER ELEKTRYK ;"STOWARZYSZENIE ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;JURKIEWICZ ANNA KATARZYNA ;31;CUKIERNIK ;KANDYDAT NIEZALEØNY 
Gaj;KACZKOWSKI MARCIN MICHA£ ;45;MAGISTER CHEMII ;"STOWARZYSZENIE ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;KURZYJAMSKI WOJCIECH MATEUSZ ;39;INFORMATYK ;TOWARZYSTWO UPI KSZANIA MIASTA WROC£AWIA 
Gaj;LEWANDOWSKI KRZYSZTOF KONRAD ;20;åREDNIE ; 
Gaj;LEWANDOWSKI S£AWOMIR PIOTR ;18;GIMNAZJALNE ; 
Gaj;MICHALSKA ZOFIA KRYSTYNA ;67;INØYNIER BUDOWLANY ; 
Gaj;OLSZEWSKI BOLES£AW KRZYSZTOF ;77;INØYNIER ELEKTRYK ;"STOWARZYSZENIE ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;PINDRAL ELØBIETA MARTA ;45;PEDAGOG ;NASZ GAJ 
Gaj;RYFA MA£GORZATA GABRIELA ;55;INØYNIER ELEKTRYK;NASZ GAJ 
Gaj;SOLI—SKI ANDRZEJ  ;39;WYØSZE ADMINISTRACYJNE ;NASZ GAJ 
Gaj;WALCZAK WOJCIECH  ;37;INFORMATYK ;NASZ GAJ 
Gaj;WARDECKI JERZY ANTONI ;57;MASZYNISTA POJAZD”W TRAKCYJNYCH ;"STOWARZYSZENIE ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;BADZIAK MARIAN  ;82;ØO£NIERZ ZAWODOWY - EMERYT ;"STOW. ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;DZIEKAN BARBARA  ;68;KRAWCOWA ;"STOW. ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;NAWROT ANDRZEJ  ;73;åREDNIE - EMERYT ;"""NASZ GAJ"" "
Gaj;PULTOWICZ MARIAN  ;65;EMERYT ;"""NASZ GAJ"" "
Gaj;SURMA JAN ADAM ;65;PROGRAMISTA ELEKTRONICZNYCH MASZYN CYFROWYCH ;"STOW. ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;URBA—SKI MICHA£  ;36;WYØSZE ;"""NASZ GAJ"" "
Gaj;WYBIERALSKA JOLANTA  ;59;NAUCZYCIEL ;"""NASZ GAJ"" "
Gaj;ZYDOROWICZ STEFAN  ;72;ØO£NIERZ ZAWODOWY - EMERYT ;"STOW. ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;CHODACZY—SKI ADAM MIECZYS£AW ;69;EKONOMISTA  ;NASZ GAJ 
Gaj;KAMIE—SKA-LENCZNER DANUTA  ;75;PEDAGOG ;"STOW. ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;NAWROTEK PIOTR £UKASZ ;30;PSYCHOLOG ;NASZ GAJ 
Gaj;NOWAKOWSKI J”ZEF  ;80;WYØSZE PRAWNICZE ;"STOW. ""ODR BNA W£ASNOå∆ KRYNICKA 2-52"" "
Gaj;PYTLARZ GRZEGORZ PIOTR ;33;PRAWNIK ;NASZ GAJ 
Gaj;WOJTASZEWSKI ADAM ANDRZEJ ;63;ØO£NIERZ ZAWODOWY ;NASZ GAJ 
Gaj;ZAGRODNIK KAZIMIERZ SZCZEPAN ;69;WYØSZE ;NASZ GAJ 
Gajowice;CHUDZIK JANUSZ  ;48;WYØSZE ZARZ•DZANIE ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Gajowice;DERENOWSKI KRZYSZTOF  ;62; ;WSP”LNIE DLA GAJOWIC 
Gajowice;KESSLER RYSZARD STEFA ;53; ;WSP”LNIE DLA GAJOWIC 
Gajowice;NANKOWSKA KRYSTYNA MARIA ;68; ;WSP”LNIE DLA GAJOWIC 
Gajowice;SPRINGER BRONIS£AWA KAZIMIERA ;75; ;WSP”LNIE DLA GAJOWIC 
Gajowice;TU£A MAGDALENA  ;33;SOCJOLOG ;WSP”LNIE DLA GAJOWIC 
Gajowice;ZALEWSKA STANIS£AWA  ;62;åREDNIE ;POLSKI ZWI•ZEK EMERYT”W, RENCIST”W I INWALID”W 
Gajowice;BOKA£O ANDRZEJ STANIS£AW ;47;EMERYT ; 
Gajowice;JANUSIK MICHA£ PAWE£ ;33;WYØSZE ;BEZPARTYJNY WROC£AW 
Gajowice;KOZ£OWSKA J”ZEFA  ;67;åREDNIE ;WSP”LNIE DLA GAJOWIC 
Gajowice;LEWANDOWSKI BOGDAN  ;51;WYØSZE ;WSP”LNIE DLA GAJOWIC 
Gajowice;MAZUREK KRYSTYNA  ;55;WYØSZE ;WSP”LNIE DLA GAJOWIC 
Gajowice;MIKO£AJEWSKA-JANIACZYK MA£GORZATA ANNA ;56;MAGISTER INØYNIER BUDOWNICTWA ;WSP”LNIE DLA GAJOWIC 
Gajowice;NOCULA RYDZ PATRYCJA ANNA ;30;WYØSZE ;BEZPARTYJNY WROC£AW 
Gajowice;POMIAN PAWE£  ;21;MANAGER DS. PR ;WSP”LNIE DLA GAJOWIC 
Gajowice;RYDZ MARCIN  ;30;LOGISTYK ;BEZPARTYJNY WROC£AW 
Gajowice;SAD£OWSKA-KUCHARSKA EUGENIA TERESA ;81;åREDNIE ;WSP”LNIE DLA GAJOWIC 
Gajowice;S K JAN  ;86;WYØSZE EKONOMICZNE ;WSP”LNIE DLA GAJOWIC 
Gajowice;SW”£ HENRYK  ;75;WYØSZE ;BEZPARTYJNY WROC£AW 
Gajowice;åWIGO— STEFAN ANDRZEJ ;72;MAGISTER PEDAGOG KULTURY OåWIATOWEJ ;WSP”LNIE DLA GAJOWIC 
Gajowice;BOCZKOWSKA JANINA BARBARA ;68;EMERYT ;WSP”LNIE DLA GAJOWIC 
Gajowice;IWANICKI MIROS£AW WALDEMAR ;49;"POLICJANT; PRAWNIK ";WSP”LNIE DLA GAJOWIC 
Gajowice;JARNICKI PAWE£ MACIEJ ;37;DOKTOR NAUK HUMANISTYCZNYCH ; 
Gajowice;KRUK ADAM JERZY ;32;WYØSZE ; 
Gajowice;MAK”WKA JACEK EDWARD ;49;WYØSZE ;WSP”LNIE DLA GAJOWIC 
Gajowice;MURAWSKI ADAM  ;36;MAGISTER ADMINISTRACJI ;WSP”LNIE DLA GAJOWIC 
Gajowice;POPIEL IRENA ZOFIA ;61;INØYNIER BUDOWNICTWA ; 
Gajowice;PUZIO ANDRZEJ  ;70;POLITOLOG ;WSP”LNIE DLA GAJOWIC 
Gajowice;WIåNIEWSKA ANNA  ;58;PEDAGOG ;WSP”LNIE DLA GAJOWIC 
Grabiszyn - Grabiszynek;AMBROZIAK DIANA MAGDALENA ;33;EKONOMISTKA ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;ANDREJEWICZ BEATA CECYLIA ;57;EKONOMISTA ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;ANDREJEWICZ W£ADYS£AW  ;62;åREDNIE ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;BIEå CZES£AW EDWARD ;58;TECHNIK MECHANIK ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;CHRISOWERGIS MICHA£ EDMUND ;25;STUDENT ; 
Grabiszyn - Grabiszynek;CZERWI—SKI PIOTR PAWE£ ;35;GRAFIK KOMPUTEROWY ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;DOLOT OSKAR DAMIAN ;44;EKOLOG ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW, PO 
Grabiszyn - Grabiszynek;DZI•GWA ELØBIETA  ;61;TECHNIK ELEKTROMONTER ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;J DRYSIAK HENRYK  ;66;ELEKTROMECHANIK ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;JUNGIEWICZ BARTOSZ LESZEK ;32;MENAGER ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;KOPACZ JAKUB STEFAN ;37;HISTORYK ARCHIWISTA ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;KOSIEK ANDRZEJ  ;62;TECHNIK MECHANIK ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;LA FONTAINE MATTHEW AARON ;37;T£UMACZ ;ZIELONY GRABISZYN 
Grabiszyn - Grabiszynek;LUBINIECKA-R”ØY£O KATARZYNA ELØBIETA ;50;URZ DNICZKA ;ZIELONY GRABISZYN 
Grabiszyn - Grabiszynek;MALICKI JAKUB EDWARD ;25;POLITOLOG ; 
Grabiszyn - Grabiszynek;MATOLICZ KRZYSZTOF KLEMENS ;35;INØ. PRODUKCJI ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;MOTYLSKA-KOMSTA JOANNA BEATA ;42;SOCJOLOG ; 
Grabiszyn - Grabiszynek;PAW£OWICZ MARCIN BRONIS£AW ;65;NAUCZYCIEL TRENER ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;PURZYC ALINA STANIS£AWA ;70;åREDNIE TECHNICZNE ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;SENDEREK BARTOSZ ALEKSANDER ;28;INØYNIER LOTNICZY DZIENNIKARZ ;MIESZKA—CY OSIEDLA 
Grabiszyn - Grabiszynek;SZCZEPANIK MACIEJ £UKASZ ;38;NAUCZYCIEL HISTORII ; 
Grabiszyn - Grabiszynek;SZNAJDER MICHA£  ;36;INØYNIER OPROGRAMOWANIA ;ZIELONY GRABISZYN 
Grabiszyn - Grabiszynek;ZAG”RNA KRYSTYNA  ;72;TECHNIK MECHANIK ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;ZAJ•CZKOWSKA BOØENA ELØBIETA ;66;åREDNIE ;MIESZKA—CY OSIEDLA - BEZPARTYJNY WROC£AW 
Grabiszyn - Grabiszynek;ZIELI—SKA TERESA ZOFIA ;64;PEDAGOG ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! 
Grabiszyn - Grabiszynek;BA—CEROWSKA KATARZYNA  ;48;WYØSZE ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! PO 
Grabiszyn - Grabiszynek;BORECKI PAWE£ £UKASZ ;21;åREDNIE ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! PO 
Grabiszyn - Grabiszynek;CHAR£AMPOWICZ SYLWIA DOROTA ;27;WYØSZE ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! PO 
Grabiszyn - Grabiszynek;DALESZY—SKA ANNA KRYSTYNA ;42;EKONOMISTA ;S£UCHAMY DZIA£AMY MIESZKANKI GRABISZYNKA 
Grabiszyn - Grabiszynek;KOSTRZEWA-ØO£NIERZ MARIA JAGODA ;61;WYØSZE ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! PO 
Grabiszyn - Grabiszynek;MAKOWSKI RYSZARD MAKSYMILIAN ;69;INØYNIER MECHANIK ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Grabiszyn - Grabiszynek;P£AWNICKA JANINA DOROTA ;57;PRAWNIK ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! PO 
Grabiszyn - Grabiszynek;PYKA MA£GORZATA BOGUMI£A ;41;PSYCHOLOG ;S£UCHAMY DZIA£AMY MIESZKANKI GRABISZYNKA 
Grabiszyn - Grabiszynek;SMARDZ WIOLETTA ANNA ;42;KSI GOWA ;S£UCHAMY DZIA£AMY MIESZKANKI GRABISZYNKA 
Grabiszyn - Grabiszynek;STANIMIR AGNIESZKA MARIA ;44;NAUCZYCIEL AKADEMICKI / WYK£ADOWCA ;S£UCHAMY DZIA£AMY MIESZKANKI GRABISZYNKA 
Grabiszyn - Grabiszynek;SUBZDA MA£GORZATA  ;42;POLITOLOG ;S£UCHAMY DZIA£AMY MIESZKANKI GRABISZYNKA 
